Company,Ticker,CIK,Fiscal_Year,Accounts_Payable,Accounts_Receivable,Acquisitions,Basic_EPS,CF_Net_Income,Capital_Expenditures,Cash_Flow_from_Financing_Activities,Cash_Flow_from_Investing_Activities,Cash_Flow_from_Operating_Activities,Cash_and_Cash_Equivalents,Common_Stock_and_APIC,Cost_of_Revenue,Debt_Issuance,Debt_Repayment,Depreciation_and_Amortization,Diluted_EPS,Dividends_Paid,Effect_of_Exchange_Rate,Ending_Cash,General_and_Administrative,Goodwill,Gross_Profit,Income_Before_Taxes,Income_Tax_Expense,Intangible_Assets_Net,Interest_Expense,Interest_Income,Inventory,Long_Term_Debt,Net_Change_in_Cash,Net_Income,Operating_Expenses,Operating_Income,Other_Current_Assets,Other_Current_Liabilities,Other_Income_Expense,Other_Noncurrent_Assets,Other_Noncurrent_Liabilities,Proceeds_from_Investments,Property_Plant_and_Equipment_Net,Purchases_of_Investments,Research_and_Development,Retained_Earnings,Revenue,Sales_and_Marketing,Share_Repurchases,Short_Term_Debt,Short_Term_Investments,Stock_Based_Compensation,Stock_Issuance,Total_Assets,Total_Current_Assets,Total_Current_Liabilities,Total_Liabilities,Total_Liabilities_and_Equity,Total_Stockholders_Equity,Weighted_Average_Shares_Basic,Weighted_Average_Shares_Diluted
Microsoft,MSFT,0000789019,2023,18095000000.0,48688000000.0,,9.72,72361000000.0,28107000000.0,-43935000000.0,-22680000000.0,87582000000.0,34704000000.0,93718000000.0,65863000000.0,,,,9.68,19800000000.0,,34704000000.0,7575000000.0,67886000000.0,146052000000.0,89311000000.0,16950000000.0,9366000000.0,1968000000.0,,2500000000.0,41990000000.0,20773000000.0,72361000000.0,57529000000.0,88523000000.0,21807000000.0,14745000000.0,-223000000.0,30601000000.0,17981000000.0,33510000000.0,95641000000.0,37651000000.0,27195000000.0,118848000000.0,211915000000.0,22759000000.0,22245000000.0,5247000000.0,76558000000.0,9611000000.0,1866000000.0,411976000000.0,184257000000.0,104149000000.0,205753000000.0,411976000000.0,206223000000.0,7446000000.0,7472000000.0
Microsoft,MSFT,0000789019,2024,21996000000.0,56924000000.0,,11.86,88136000000.0,44477000000.0,-37757000000.0,-96970000000.0,118548000000.0,18315000000.0,100923000000.0,74114000000.0,,,,11.8,21771000000.0,,18315000000.0,7609000000.0,119220000000.0,171008000000.0,107787000000.0,19651000000.0,27597000000.0,2935000000.0,,1246000000.0,42688000000.0,-16389000000.0,88136000000.0,61575000000.0,109433000000.0,26021000000.0,19185000000.0,-1319000000.0,36460000000.0,27064000000.0,24775000000.0,135591000000.0,17732000000.0,29510000000.0,173144000000.0,245122000000.0,24456000000.0,17254000000.0,2249000000.0,57228000000.0,10734000000.0,2002000000.0,512163000000.0,159734000000.0,125286000000.0,243686000000.0,512163000000.0,268477000000.0,7431000000.0,7469000000.0
Microsoft,MSFT,0000789019,2025,27724000000.0,69905000000.0,,13.7,101832000000.0,64551000000.0,-51699000000.0,-72599000000.0,136162000000.0,30242000000.0,109095000000.0,87831000000.0,,,,13.64,24082000000.0,,30242000000.0,7223000000.0,119509000000.0,193893000000.0,123627000000.0,21795000000.0,22604000000.0,2385000000.0,,938000000.0,40152000000.0,11927000000.0,101832000000.0,65365000000.0,128528000000.0,25723000000.0,25020000000.0,-4725000000.0,40565000000.0,45186000000.0,16079000000.0,204966000000.0,29775000000.0,32488000000.0,237731000000.0,281724000000.0,25654000000.0,18420000000.0,2999000000.0,64323000000.0,11974000000.0,2056000000.0,619003000000.0,191131000000.0,141218000000.0,275524000000.0,619003000000.0,343479000000.0,7433000000.0,7465000000.0
Microsoft,MSFT,0000789019,2026,42416000000.0,80876000000.0,,18.0,133749000000.0,115948000000.0,-52546000000.0,-139500000000.0,182935000000.0,20935000000.0,117406000000.0,106374000000.0,,,,17.95,26445000000.0,,20935000000.0,7956000000.0,119651000000.0,225465000000.0,165934000000.0,32185000000.0,18609000000.0,3051000000.0,,1397000000.0,31067000000.0,-9307000000.0,133749000000.0,70228000000.0,155237000000.0,48594000000.0,26738000000.0,4722000000.0,38805000000.0,65117000000.0,34605000000.0,313076000000.0,58351000000.0,35562000000.0,328265000000.0,331839000000.0,26710000000.0,22271000000.0,9227000000.0,55908000000.0,12405000000.0,2009000000.0,758376000000.0,207710000000.0,168825000000.0,315989000000.0,758376000000.0,442387000000.0,7429000000.0,7453000000.0
NVIDIA,NVDA,0001045810,2021,1149000000.0,2429000000.0,8524000000.0,1.76,4332000000.0,,3804000000.0,-19675000000.0,5822000000.0,847000000.0,8719000000.0,6279000000.0,4968000000.0,0.0,1098000000.0,1.73,395000000.0,,847000000.0,,4193000000.0,10396000000.0,4409000000.0,77000000.0,2737000000.0,184000000.0,57000000.0,1826000000.0,5964000000.0,-10049000000.0,4332000000.0,5864000000.0,4532000000.0,,,4000000.0,2144000000.0,1375000000.0,8792000000.0,2149000000.0,19308000000.0,3924000000.0,18908000000.0,16675000000.0,,0.0,999000000.0,10714000000.0,1397000000.0,,28791000000.0,16055000000.0,3925000000.0,11898000000.0,28791000000.0,16893000000.0,2467000000.0,2510000000.0
NVIDIA,NVDA,0001045810,2022,1783000000.0,4650000000.0,263000000.0,3.91,9752000000.0,976000000.0,1865000000.0,-9830000000.0,9108000000.0,1990000000.0,10385000000.0,9439000000.0,4977000000.0,1000000000.0,1174000000.0,3.85,399000000.0,,1990000000.0,,4349000000.0,17475000000.0,9941000000.0,189000000.0,2339000000.0,236000000.0,29000000.0,2605000000.0,10946000000.0,1143000000.0,9752000000.0,7434000000.0,10041000000.0,,,107000000.0,3841000000.0,1553000000.0,15197000000.0,2778000000.0,24787000000.0,5268000000.0,16235000000.0,26914000000.0,,0.0,0.0,19218000000.0,2004000000.0,,44187000000.0,28829000000.0,4335000000.0,17575000000.0,44187000000.0,26612000000.0,2496000000.0,2535000000.0
NVIDIA,NVDA,0001045810,2023,1193000000.0,3827000000.0,49000000.0,0.18,4368000000.0,1833000000.0,-11617000000.0,7375000000.0,5641000000.0,3389000000.0,11971000000.0,11618000000.0,0.0,0.0,1544000000.0,0.17,398000000.0,,3389000000.0,,4372000000.0,15356000000.0,4181000000.0,-187000000.0,1676000000.0,262000000.0,267000000.0,5159000000.0,9703000000.0,1399000000.0,4368000000.0,11132000000.0,4224000000.0,,,-48000000.0,3820000000.0,1913000000.0,19425000000.0,3807000000.0,11897000000.0,7339000000.0,10171000000.0,26974000000.0,,10039000000.0,1250000000.0,9907000000.0,2709000000.0,,41182000000.0,23073000000.0,6563000000.0,19081000000.0,41182000000.0,22101000000.0,24870000000.0,25070000000.0
NVIDIA,NVDA,0001045810,2024,2699000000.0,9999000000.0,83000000.0,1.21,29760000000.0,1069000000.0,-13633000000.0,-10566000000.0,28090000000.0,7280000000.0,13109000000.0,16621000000.0,0.0,1250000000.0,1508000000.0,1.19,395000000.0,,7280000000.0,,4430000000.0,44301000000.0,33818000000.0,4058000000.0,1112000000.0,257000000.0,866000000.0,5282000000.0,8459000000.0,3891000000.0,29760000000.0,11329000000.0,32972000000.0,,,237000000.0,4500000000.0,2541000000.0,9732000000.0,3914000000.0,18211000000.0,8675000000.0,29817000000.0,60922000000.0,,9533000000.0,1250000000.0,18704000000.0,3549000000.0,,65728000000.0,44345000000.0,10631000000.0,22750000000.0,65728000000.0,42978000000.0,24690000000.0,24940000000.0
NVIDIA,NVDA,0001045810,2025,6310000000.0,23065000000.0,1007000000.0,2.97,72880000000.0,3236000000.0,-42359000000.0,-20421000000.0,64089000000.0,8589000000.0,11237000000.0,32639000000.0,,1250000000.0,1864000000.0,2.94,834000000.0,,8589000000.0,,5188000000.0,97858000000.0,84026000000.0,11146000000.0,807000000.0,247000000.0,1786000000.0,10080000000.0,8463000000.0,1309000000.0,72880000000.0,16405000000.0,81453000000.0,,,1034000000.0,3038000000.0,4245000000.0,11195000000.0,6283000000.0,26575000000.0,12914000000.0,68038000000.0,130497000000.0,,33706000000.0,0.0,34621000000.0,4737000000.0,,111601000000.0,80126000000.0,18047000000.0,32274000000.0,111601000000.0,79327000000.0,24555000000.0,24804000000.0
NVIDIA,NVDA,0001045810,2026,9812000000.0,38466000000.0,1535000000.0,4.93,120067000000.0,6042000000.0,-48474000000.0,-52228000000.0,102718000000.0,10605000000.0,10118000000.0,62475000000.0,,0.0,2843000000.0,4.9,974000000.0,,10605000000.0,,20832000000.0,153463000000.0,141450000000.0,21383000000.0,3306000000.0,259000000.0,2300000000.0,21403000000.0,7469000000.0,2016000000.0,120067000000.0,23076000000.0,130387000000.0,,,9022000000.0,8301000000.0,7306000000.0,11226000000.0,10383000000.0,40616000000.0,18497000000.0,146973000000.0,215938000000.0,,40086000000.0,999000000.0,,6386000000.0,,206803000000.0,125605000000.0,32163000000.0,49510000000.0,206803000000.0,157293000000.0,24359000000.0,24514000000.0
